codigo_origen,version_origen,codigo_destino,version_destino,nivel
2824,CNAE-2009,2824,CNAE-2025,4
2825,CNAE-2009,2825,CNAE-2025,4
2825,CNAE-2009,2932,CNAE-2025,4
2829,CNAE-2009,2829,CNAE-2025,4
2829,CNAE-2009,2893,CNAE-2025,4
283,CNAE-2009,283,CNAE-2025,3
2830,CNAE-2009,2830,CNAE-2025,4
284,CNAE-2009,279,CNAE-2025,3
284,CNAE-2009,284,CNAE-2025,3
2841,CNAE-2009,2841,CNAE-2025,4
2849,CNAE-2009,2790,CNAE-2025,4
2849,CNAE-2009,2841,CNAE-2025,4
2849,CNAE-2009,2842,CNAE-2025,4
289,CNAE-2009,283,CNAE-2025,3
289,CNAE-2009,289,CNAE-2025,3
2891,CNAE-2009,2891,CNAE-2025,4
2892,CNAE-2009,2830,CNAE-2025,4
2892,CNAE-2009,2892,CNAE-2025,4
2893,CNAE-2009,2893,CNAE-2025,4
2894,CNAE-2009,2894,CNAE-2025,4
2895,CNAE-2009,2895,CNAE-2025,4
2896,CNAE-2009,2896,CNAE-2025,4
2896,CNAE-2009,2897,CNAE-2025,4
2899,CNAE-2009,2897,CNAE-2025,4
2899,CNAE-2009,2899,CNAE-2025,4
29,CNAE-2009,29,CNAE-2025,2
291,CNAE-2009,291,CNAE-2025,3
2910,CNAE-2009,2910,CNAE-2025,4
292,CNAE-2009,292,CNAE-2025,3
2920,CNAE-2009,2920,CNAE-2025,4
293,CNAE-2009,293,CNAE-2025,3
2931,CNAE-2009,2931,CNAE-2025,4
2932,CNAE-2009,2932,CNAE-2025,4
30,CNAE-2009,30,CNAE-2025,2
30,CNAE-2009,33,CNAE-2025,2
301,CNAE-2009,301,CNAE-2025,3
3011,CNAE-2009,3011,CNAE-2025,4
3011,CNAE-2009,3013,CNAE-2025,4
3012,CNAE-2009,3012,CNAE-2025,4
302,CNAE-2009,302,CNAE-2025,3
3020,CNAE-2009,3020,CNAE-2025,4
303,CNAE-2009,303,CNAE-2025,3
3030,CNAE-2009,3031,CNAE-2025,4
3030,CNAE-2009,3032,CNAE-2025,4
304,CNAE-2009,304,CNAE-2025,3
304,CNAE-2009,331,CNAE-2025,3
3040,CNAE-2009,3040,CNAE-2025,4
3040,CNAE-2009,3318,CNAE-2025,4
309,CNAE-2009,309,CNAE-2025,3
3091,CNAE-2009,3091,CNAE-2025,4
3091,CNAE-2009,3092,CNAE-2025,4
3092,CNAE-2009,3092,CNAE-2025,4
3099,CNAE-2009,3099,CNAE-2025,4
31,CNAE-2009,31,CNAE-2025,2
310,CNAE-2009,310,CNAE-2025,3
3101,CNAE-2009,3100,CNAE-2025,4
3102,CNAE-2009,3100,CNAE-2025,4
3103,CNAE-2009,3100,CNAE-2025,4
3109,CNAE-2009,3100,CNAE-2025,4
32,CNAE-2009,26,CNAE-2025,2
32,CNAE-2009,32,CNAE-2025,2
321,CNAE-2009,321,CNAE-2025,3
3211,CNAE-2009,3211,CNAE-2025,4
3212,CNAE-2009,3212,CNAE-2025,4
3213,CNAE-2009,3213,CNAE-2025,4
322,CNAE-2009,322,CNAE-2025,3
3220,CNAE-2009,3220,CNAE-2025,4
323,CNAE-2009,323,CNAE-2025,3
323,CNAE-2009,329,CNAE-2025,3
3230,CNAE-2009,3230,CNAE-2025,4
3230,CNAE-2009,3299,CNAE-2025,4
324,CNAE-2009,324,CNAE-2025,3
3240,CNAE-2009,3240,CNAE-2025,4
325,CNAE-2009,266,CNAE-2025,3
325,CNAE-2009,325,CNAE-2025,3
3250,CNAE-2009,2660,CNAE-2025,4
3250,CNAE-2009,3250,CNAE-2025,4
329,CNAE-2009,325,CNAE-2025,3
329,CNAE-2009,329,CNAE-2025,3
3291,CNAE-2009,3291,CNAE-2025,4
3299,CNAE-2009,3250,CNAE-2025,4
3299,CNAE-2009,3299,CNAE-2025,4
33,CNAE-2009,03,CNAE-2025,2
33,CNAE-2009,33,CNAE-2025,2
33,CNAE-2009,91,CNAE-2025,2
331,CNAE-2009,033,CNAE-2025,3
331,CNAE-2009,331,CNAE-2025,3
331,CNAE-2009,913,CNAE-2025,3
3311,CNAE-2009,0330,CNAE-2025,4
3311,CNAE-2009,3311,CNAE-2025,4
3311,CNAE-2009,3317,CNAE-2025,4
3312,CNAE-2009,3312,CNAE-2025,4
3312,CNAE-2009,3315,CNAE-2025,4
3312,CNAE-2009,3318,CNAE-2025,4
3313,CNAE-2009,3313,CNAE-2025,4
3314,CNAE-2009,3314,CNAE-2025,4
3315,CNAE-2009,3315,CNAE-2025,4
3315,CNAE-2009,3318,CNAE-2025,4
3316,CNAE-2009,3316,CNAE-2025,4
3316,CNAE-2009,3318,CNAE-2025,4
3317,CNAE-2009,3317,CNAE-2025,4
3319,CNAE-2009,3319,CNAE-2025,4
3319,CNAE-2009,9130,CNAE-2025,4
332,CNAE-2009,332,CNAE-2025,3
3320,CNAE-2009,3320,CNAE-2025,4
D,CNAE-2009,D,CNAE-2025,1
35,CNAE-2009,35,CNAE-2025,2
351,CNAE-2009,351,CNAE-2025,3
351,CNAE-2009,354,CNAE-2025,3
3512,CNAE-2009,3513,CNAE-2025,4
3513,CNAE-2009,3514,CNAE-2025,4
3514,CNAE-2009,3515,CNAE-2025,4
