codigo,version,descripcion,nivel,codigo_padre
801,CNAE-2009,Actividades de seguridad privada,3,80
802,CNAE-2009,Servicios de sistemas de seguridad,3,80
803,CNAE-2009,Actividades de investigación,3,80
811,CNAE-2009,Servicios integrales a edificios e instalaciones,3,81
812,CNAE-2009,Actividades de limpieza,3,81
813,CNAE-2009,Actividades de jardinería,3,81
821,CNAE-2009,Actividades administrativas y auxiliares de oficina,3,82
822,CNAE-2009,Actividades de los centros de llamadas,3,82
823,CNAE-2009,Organización de convenciones y ferias de muestras,3,82
829,CNAE-2009,Actividades de apoyo a las empresas n.c.o.p.,3,82
841,CNAE-2009,Administración Pública y de la política económica y social,3,84
842,CNAE-2009,Prestación de servicios a la comunidad en general,3,84
843,CNAE-2009,Seguridad Social obligatoria,3,84
851,CNAE-2009,Educación preprimaria,3,85
852,CNAE-2009,Educación primaria,3,85
853,CNAE-2009,Educación secundaria,3,85
854,CNAE-2009,Educación postsecundaria,3,85
855,CNAE-2009,Otra educación,3,85
856,CNAE-2009,Actividades auxiliares a la educación,3,85
861,CNAE-2009,Actividades hospitalarias,3,86
862,CNAE-2009,Actividades médicas y odontológicas,3,86
869,CNAE-2009,Otras actividades sanitarias,3,86
871,CNAE-2009,Asistencia en establecimientos residenciales con cuidados sanitarios,3,87
872,CNAE-2009,"Asistencia en establecimientos residenciales para personas con discapacidad intelectual, enfermedad mental y drogodependencia",3,87
873,CNAE-2009,Asistencia en establecimientos residenciales para personas mayores y con discapacidad física,3,87
879,CNAE-2009,Otras actividades de asistencia en establecimientos residenciales,3,87
881,CNAE-2009,Actividades de servicios sociales sin alojamiento para personas mayores y con discapacidad,3,88
889,CNAE-2009,Otros actividades de servicios sociales sin alojamiento,3,88
900,CNAE-2009,"Actividades de creación, artísticas y espectáculos",3,90
910,CNAE-2009,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",3,91
920,CNAE-2009,Actividades de juegos de azar y apuestas,3,92
931,CNAE-2009,Actividades deportivas,3,93
932,CNAE-2009,Actividades recreativas y de entretenimiento,3,93
941,CNAE-2009,"Actividades de organizaciones empresariales, profesionales y patronales",3,94
942,CNAE-2009,Actividades sindicales,3,94
949,CNAE-2009,Otras actividades asociativas,3,94
951,CNAE-2009,Reparación de ordenadores y equipos de comunicación,3,95
952,CNAE-2009,Reparación de efectos personales y artículos de uso doméstico,3,95
960,CNAE-2009,Otros servicios personales,3,96
970,CNAE-2009,Actividades de los hogares como empleadores de personal doméstico,3,97
981,CNAE-2009,Actividades de los hogares como productores de bienes para uso propio,3,98
982,CNAE-2009,Actividades de los hogares como productores de servicios para uso propio,3,98
990,CNAE-2009,Actividades de organizaciones y organismos extraterritoriales,3,99
0111,CNAE-2009,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas",4,011
0112,CNAE-2009,Cultivo de arroz,4,011
0113,CNAE-2009,"Cultivo de hortalizas, raíces y tubérculos",4,011
0114,CNAE-2009,Cultivo de caña de azúcar,4,011
0115,CNAE-2009,Cultivo de tabaco,4,011
0116,CNAE-2009,Cultivo de plantas para fibras textiles,4,011
0119,CNAE-2009,Otros cultivos no perennes,4,011
0121,CNAE-2009,Cultivo de la vid,4,012
0122,CNAE-2009,Cultivo de frutos tropicales y subtropicales,4,012
0123,CNAE-2009,Cultivo de cítricos,4,012
0124,CNAE-2009,Cultivo de frutos con hueso y pepitas,4,012
0125,CNAE-2009,Cultivo de otros árboles y arbustos frutales y frutos secos,4,012
0126,CNAE-2009,Cultivo de frutos oleaginosos,4,012
0127,CNAE-2009,Cultivo de plantas para bebidas,4,012
0128,CNAE-2009,"Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",4,012
0129,CNAE-2009,Otros cultivos perennes,4,012
0130,CNAE-2009,Propagación de plantas,4,013
0141,CNAE-2009,Explotación de ganado bovino para la producción de leche,4,014
0142,CNAE-2009,Explotación de otro ganado bovino y búfalos,4,014
0143,CNAE-2009,Explotación de caballos y otros equinos,4,014
0144,CNAE-2009,Explotación de camellos y otros camélidos,4,014
0145,CNAE-2009,Explotación de ganado ovino y caprino,4,014
0146,CNAE-2009,Explotación de ganado porcino,4,014
0147,CNAE-2009,Avicultura,4,014
0149,CNAE-2009,Otras explotaciones de ganado,4,014
